Best cost: 16572.830142207084
Route #1: [0, 46, 23, 36, 6, 15, 12, 56, 10, 89, 48, 24, 0]
Route #2: [0, 39, 51, 87, 45, 19, 52, 61, 31, 58, 16, 43, 0]
Route #3: [0, 75, 62, 93, 47, 20, 28, 14, 71, 26, 64, 92, 0]
Route #4: [0, 81, 32, 86, 98, 35, 95, 91, 85, 4, 60, 80, 0]
Route #5: [0, 67, 7, 90, 99, 50, 49, 76, 94, 88, 44, 38, 0]
Route #6: [0, 1, 37, 70, 54, 17, 82, 53, 69, 13, 22, 5, 0]
Route #7: [0, 59, 78, 33, 25, 8, 3, 83, 77, 41, 73, 84, 0]
Route #8: [0, 68, 96, 29, 11, 97, 34, 79, 66, 55, 21, 65, 0]
Route #9: [0, 42, 74, 2, 9, 27, 72, 63, 30, 18, 40, 57, 0]
Route #10: [0, 0]
